HITId,WorkerId,Input.image_url,Answer.algorithms.alg1,Answer.algorithms.alg2,Answer.algorithms.none,img_id,img_class,alg1,alg2,nonpruned,2pruned,32pruned,annotation_result
3GITHABAD67H76AWTVB589IP4QCN29,A3A1PY8GLGYRR5,167_32pruned_2-cassetteplayer_nonpruned.png,False,False,True,167,2-cassetteplayer,32pruned,nonpruned,0.0,0.0,0.0,none
3D4BBDG70PIN1K9O85GWB8T5B0Y3CI,AV5TLLCULVF0P,8_2pruned_2-cassetteplayer_nonpruned.png,False,True,False,8,2-cassetteplayer,2pruned,nonpruned,1.0,0.0,0.0,alg2
3Z56AA6ELCMZ7P8X4W88L7A1F556MA,A250KKS1WKKUFY,360_2pruned_4-church_nonpruned.png,False,False,True,360,4-church,2pruned,nonpruned,0.0,0.0,0.0,none
3OKP4QVBQAJ02HOEJ6RPO7SQF2IAGV,A2U9OZCL9ULYLZ,235_32pruned_8-golfball_nonpruned.png,False,False,True,235,8-golfball,32pruned,nonpruned,0.0,0.0,0.0,none
36FQTHX30BD4RFHIU5K10ONNTFY3BB,A3NXNCQ5PD9LO2,62_32pruned_3-chainsaw_nonpruned.png,False,False,True,62,3-chainsaw,32pruned,nonpruned,0.0,0.0,0.0,none
32PT7WK7EU1X6CF281B7VEBNW0A3DI,A21L7K4NROSSF5,274_2pruned_3-chainsaw_nonpruned.png,False,False,True,274,3-chainsaw,2pruned,nonpruned,0.0,0.0,0.0,none
3UV0D2KX2U5FMSC2ZLBGTJ6EMDMF4Q,A30FOPPL2JP6XE,283_nonpruned_1-dog_2pruned.png,False,False,True,283,1-dog,nonpruned,2pruned,0.0,0.0,0.0,none
3G5RUKN2FKPS7QVVE4QKIWQ3AWMN91,AL2KG1ZCSWKBJ,6_2pruned_7-gaspump_nonpruned.png,False,True,False,6,7-gaspump,2pruned,nonpruned,1.0,0.0,0.0,alg2
31GN6YMHMXE0ZZ08FBHYVA8KVWFWSC,AKDB2G1IT34PH,216_nonpruned_5-frenchhorn_32pruned.png,False,False,True,216,5-frenchhorn,nonpruned,32pruned,0.0,0.0,0.0,none
3MNJFORX9JQXIBG2DQUQYBCSM9HF5V,A3GCVJINCZ758Y,295_nonpruned_9-parachute_32pruned.png,False,True,False,295,9-parachute,nonpruned,32pruned,0.0,0.0,1.0,alg2
35A1YQPVGM2HS2ISEY0B18PK219I5P,AV5TLLCULVF0P,350_nonpruned_3-chainsaw_32pruned.png,True,False,False,350,3-chainsaw,nonpruned,32pruned,1.0,0.0,0.0,alg1
30EMX9PEWS594Z6RQXYV7ZEP8P6KS4,A4VGL8HEEEG9P,116_32pruned_8-golfball_nonpruned.png,False,True,False,116,8-golfball,32pruned,nonpruned,1.0,0.0,0.0,alg2
3IZVJEBJ7I6Z6W7GJLY2T96AU9MZ6J,AKDB2G1IT34PH,100_32pruned_9-parachute_nonpruned.png,True,False,False,100,9-parachute,32pruned,nonpruned,0.0,0.0,1.0,alg1
3UUSLRKAVTPF7VGPADEX8VN312WD7X,A1GC6CN3F0IHWN,223_nonpruned_3-chainsaw_2pruned.png,False,False,True,223,3-chainsaw,nonpruned,2pruned,0.0,0.0,0.0,none
307L9TDWK6E6SO6FXVPARJNHA4CN3K,A250KKS1WKKUFY,380_nonpruned_0-fish_32pruned.png,False,False,True,380,0-fish,nonpruned,32pruned,0.0,0.0,0.0,none
3BO3NEOQN83EY8U99URS9J56UFAIAV,A30FOPPL2JP6XE,118_32pruned_5-frenchhorn_nonpruned.png,False,False,True,118,5-frenchhorn,32pruned,nonpruned,0.0,0.0,0.0,none
335HHSX8DLRC0KM1NM09Z8CXF5SHD3,A30FOPPL2JP6XE,418_32pruned_8-golfball_nonpruned.png,False,True,False,418,8-golfball,32pruned,nonpruned,1.0,0.0,0.0,alg2
3E6L1VR4Y48T1FGGI94VQHQSI4SF6B,A1V70LAP4UDYV6,225_nonpruned_0-fish_32pruned.png,True,False,False,225,0-fish,nonpruned,32pruned,1.0,0.0,0.0,alg1
3PN6H8C9SCCXQXENHGQHIMPT2A2ADL,A3GCVJINCZ758Y,173_2pruned_3-chainsaw_nonpruned.png,True,False,False,173,3-chainsaw,2pruned,nonpruned,0.0,1.0,0.0,alg1
3W9XHF7WHSHAJZJ6FX3LH4ABA8KKTT,A2E1HOTKPZR12R,60_32pruned_6-garbagetruck_nonpruned.png,False,True,False,60,6-garbagetruck,32pruned,nonpruned,1.0,0.0,0.0,alg2
