HITId,WorkerId,Input.image_url,Answer.algorithms.alg1,Answer.algorithms.alg2,Answer.algorithms.none,img_id,img_class,alg1,alg2,nonpruned,2pruned,32pruned,annotation_result
3E9VAUV7C400O89EDCDVV7ZUK3VAYQ,A3U5D83UGFY23Y,388_2pruned_3-chainsaw_nonpruned.png,True,False,False,388,3-chainsaw,2pruned,nonpruned,0.0,1.0,0.0,alg1
3ZUE82NE1ING5TZ4BO1TAVMJO458FN,A2KLWSLNAXJUAZ,64_32pruned_7-gaspump_nonpruned.png,True,False,False,64,7-gaspump,32pruned,nonpruned,0.0,0.0,1.0,alg1
3CVDZS289PMVQI185PBCFDNE89UFMI,A3T1M3NZ5UIA56,221_2pruned_8-golfball_nonpruned.png,False,True,False,221,8-golfball,2pruned,nonpruned,1.0,0.0,0.0,alg2
38O9DZ0A7A990L44UEPO6YW395A62F,A1HDYTLK36Y0G5,219_2pruned_7-gaspump_nonpruned.png,True,False,False,219,7-gaspump,2pruned,nonpruned,0.0,1.0,0.0,alg1
3SD15I2WEAGYL30NYE3TP81VFJA63Q,A6B55HA085S5V,361_2pruned_5-frenchhorn_nonpruned.png,False,True,False,361,5-frenchhorn,2pruned,nonpruned,1.0,0.0,0.0,alg2
374UMBUHODBS017INKMNTLX354YCT5,A21DHQV0B6WUT6,470_nonpruned_9-parachute_32pruned.png,False,True,False,470,9-parachute,nonpruned,32pruned,0.0,0.0,1.0,alg2
3NRZ1LDP84S7G2PLYHXBZ9XRPJYPZB,A1NF6PELRKACS9,17_nonpruned_4-church_32pruned.png,True,False,False,17,4-church,nonpruned,32pruned,1.0,0.0,0.0,alg1
3JVP4ZJHEXEIXVWRHSUZKDTTLYLI01,A382OPA6G1896W,275_2pruned_4-church_nonpruned.png,False,True,False,275,4-church,2pruned,nonpruned,1.0,0.0,0.0,alg2
3YO4AH2FQL6VETKAU0Z8TFKFC81Q0B,A1Y1DVHPPIC56B,177_nonpruned_0-fish_2pruned.png,False,True,False,177,0-fish,nonpruned,2pruned,0.0,1.0,0.0,alg2
341YLJU22QLPT5Z5WFYD31M8IW5I2L,ABHYV4JBUVOYS,319_nonpruned_9-parachute_2pruned.png,True,False,False,319,9-parachute,nonpruned,2pruned,1.0,0.0,0.0,alg1
31KPKEKW5IZ8ANILBI2IYQPGQ81B0L,A3QO8R7Z93A87K,122_2pruned_0-fish_nonpruned.png,False,False,True,122,0-fish,2pruned,nonpruned,0.0,0.0,0.0,none
3ZLW647WBTHA32HMBCRQZVKJZE8326,A1Q0WMGOMYOLPN,386_32pruned_4-church_nonpruned.png,True,False,False,386,4-church,32pruned,nonpruned,0.0,0.0,1.0,alg1
3JAOYN9IITOZOKD5FC5VI5PB5S833H,A1VMWZ4X201V7H,406_nonpruned_8-golfball_32pruned.png,False,True,False,406,8-golfball,nonpruned,32pruned,0.0,0.0,1.0,alg2
3H5TOKO3EH5J3ZJRYS8CZDT1TJ664B,A273PAYHIAJHO7,121_32pruned_9-parachute_nonpruned.png,True,False,False,121,9-parachute,32pruned,nonpruned,0.0,0.0,1.0,alg1
3VDI8GSXBNFMJTVZM87BSGMVPJ58GM,A3U5D83UGFY23Y,243_nonpruned_5-frenchhorn_2pruned.png,True,False,False,243,5-frenchhorn,nonpruned,2pruned,1.0,0.0,0.0,alg1
3EHIMLB7GFL0JPQA6EPTDGYW4JI8HL,A2KLWSLNAXJUAZ,153_nonpruned_0-fish_2pruned.png,True,False,False,153,0-fish,nonpruned,2pruned,1.0,0.0,0.0,alg1
39XCQ6V3L6Q1ZINRCXRM45ZFTF165G,A3DO7XKWE9BAWG,287_nonpruned_2-cassetteplayer_32pruned.png,False,True,False,287,2-cassetteplayer,nonpruned,32pruned,0.0,0.0,1.0,alg2
3IVEC1GSMXLEZV1FVTJZAJR335H1J0,A273PAYHIAJHO7,434_nonpruned_7-gaspump_32pruned.png,True,False,False,434,7-gaspump,nonpruned,32pruned,1.0,0.0,0.0,alg1
3MIVREZQWPKXRJREYT9QCZZOQ68KQC,A3P57IUDHUKNCE,454_2pruned_7-gaspump_nonpruned.png,False,True,False,454,7-gaspump,2pruned,nonpruned,1.0,0.0,0.0,alg2
382GHPVPI0DK6GW9FQAESAHHJS4342,A1Z8TF04ZG3VRE,449_nonpruned_4-church_2pruned.png,False,True,False,449,4-church,nonpruned,2pruned,0.0,1.0,0.0,alg2
3087LXLJ7U2YN4U1GKOEHGG156T0FS,A1VMWZ4X201V7H,355_nonpruned_7-gaspump_2pruned.png,False,False,True,355,7-gaspump,nonpruned,2pruned,0.0,0.0,0.0,none
3W0XM68Y0XH9AF7XDEJBBYRGIUH1KZ,A1VMWZ4X201V7H,265_2pruned_6-garbagetruck_nonpruned.png,True,False,False,265,6-garbagetruck,2pruned,nonpruned,0.0,1.0,0.0,alg1
3KI0JD2ZV94GMM1A0Q6J2PDBKLW67V,A1Y1DVHPPIC56B,16_nonpruned_8-golfball_32pruned.png,False,True,False,16,8-golfball,nonpruned,32pruned,0.0,0.0,1.0,alg2
3ECKRY5B2YIFZG2HLM7RQCWF354ZIA,A2WPHVMLLEV5ZB,490_2pruned_7-gaspump_nonpruned.png,False,False,True,490,7-gaspump,2pruned,nonpruned,0.0,0.0,0.0,none
30UZJB2PPPY22Z09TVTOX2NVJOZ357,A3TTGSUBIK1YCL,346_32pruned_2-cassetteplayer_nonpruned.png,False,True,False,346,2-cassetteplayer,32pruned,nonpruned,1.0,0.0,0.0,alg2
3SD15I2WEAGYL30NYE3TP81VFJA36N,A2H90QIP05I3LU,151_nonpruned_9-parachute_2pruned.png,True,False,False,151,9-parachute,nonpruned,2pruned,1.0,0.0,0.0,alg1
3XEIP58NM89HPHAN6P44ISO7K9YZLO,A3TTGSUBIK1YCL,25_32pruned_9-parachute_nonpruned.png,True,False,False,25,9-parachute,32pruned,nonpruned,0.0,0.0,1.0,alg1
32FESTC2OPC70EM7NPCXYHJ5OI5CUW,A2KLWSLNAXJUAZ,427_nonpruned_6-garbagetruck_2pruned.png,False,True,False,427,6-garbagetruck,nonpruned,2pruned,0.0,1.0,0.0,alg2
3JYPJ2TAZQU1BLYLX534WHH9DE5FPE,A2KLWSLNAXJUAZ,231_nonpruned_3-chainsaw_2pruned.png,True,False,False,231,3-chainsaw,nonpruned,2pruned,1.0,0.0,0.0,alg1
3ZVPAMTJXVPS1YAVLHDBJXH0FBTRGH,A3QO8R7Z93A87K,207_32pruned_2-cassetteplayer_nonpruned.png,False,True,False,207,2-cassetteplayer,32pruned,nonpruned,1.0,0.0,0.0,alg2
3BFNCI9LZSCHP3ESHO8LVM1RAUU37M,A1L2N1X8U8Z3W7,27_2pruned_8-golfball_nonpruned.png,False,True,False,27,8-golfball,2pruned,nonpruned,1.0,0.0,0.0,alg2
3DZKABX20QR7DTB7SFM2U3LO2PECVL,A273PAYHIAJHO7,114_nonpruned_8-golfball_32pruned.png,False,True,False,114,8-golfball,nonpruned,32pruned,0.0,0.0,1.0,alg2
3ICOHX7EOKX6HQU5L948ZYV1T5E0EA,A12KW2ANXC46MZ,448_2pruned_0-fish_nonpruned.png,False,False,True,448,0-fish,2pruned,nonpruned,0.0,0.0,0.0,none
32TZXEA1PT6OWDIUSMWV4H2KL8R41C,A2KLWSLNAXJUAZ,258_32pruned_0-fish_nonpruned.png,True,False,False,258,0-fish,32pruned,nonpruned,0.0,0.0,1.0,alg1
36FQTHX30BD4RFHIU5K10ONNTKLB3G,A3I7ZBU31VKOMC,50_nonpruned_3-chainsaw_2pruned.png,False,False,True,50,3-chainsaw,nonpruned,2pruned,0.0,0.0,0.0,none
3X52SWXE15RKSIBCIPRYG5429YGCWV,A714FAI9LIUO6,443_2pruned_9-parachute_nonpruned.png,False,False,True,443,9-parachute,2pruned,nonpruned,0.0,0.0,0.0,none
3OQQD2WO9QSEENVO0FCIMBR0OA5I3W,A273PAYHIAJHO7,287_2pruned_2-cassetteplayer_nonpruned.png,False,False,True,287,2-cassetteplayer,2pruned,nonpruned,0.0,0.0,0.0,none
3GKAWYFRBXF4D1KP6Z8E8HEO11PPDD,ALCPF5NANBDSZ,44_32pruned_6-garbagetruck_nonpruned.png,False,True,False,44,6-garbagetruck,32pruned,nonpruned,1.0,0.0,0.0,alg2
3IHWR4LC8LZ0FK1UCW7EDSZB4WX8IE,A1SHP0U7NGGUGY,282_32pruned_5-frenchhorn_nonpruned.png,False,True,False,282,5-frenchhorn,32pruned,nonpruned,1.0,0.0,0.0,alg2
31GECDVAAR8XIMN5HG1RWBDFPAC66W,A1GCCCD7V9JUQY,189_32pruned_0-fish_nonpruned.png,True,False,False,189,0-fish,32pruned,nonpruned,0.0,0.0,1.0,alg1
3GVPRXWRQPGWF6WB2RF8ZS3GTCRI71,A1GCCCD7V9JUQY,305_2pruned_8-golfball_nonpruned.png,False,False,True,305,8-golfball,2pruned,nonpruned,0.0,0.0,0.0,none
3L55D8AUGIJOHN6CXQ9M12PIK6GCYU,A21DHQV0B6WUT6,345_32pruned_1-dog_nonpruned.png,False,True,False,345,1-dog,32pruned,nonpruned,1.0,0.0,0.0,alg2
3MQY1YVHTB6F6XLZQ56WHEIVN6LB25,A273PAYHIAJHO7,10_2pruned_5-frenchhorn_nonpruned.png,False,False,True,10,5-frenchhorn,2pruned,nonpruned,0.0,0.0,0.0,none
33NKDW9FG54ZHIG2SUNKIOI9I0MXC9,A3CE9FV17NYQ0O,111_2pruned_9-parachute_nonpruned.png,False,True,False,111,9-parachute,2pruned,nonpruned,1.0,0.0,0.0,alg2
3NZ1E5QA77N75U4M8O8UFLL77GCB56,A1KIL98F8LTUEF,205_32pruned_4-church_nonpruned.png,True,False,False,205,4-church,32pruned,nonpruned,0.0,0.0,1.0,alg1
30IRMPJWE75X3K6EB8YQHP9TMSAKRD,A273PAYHIAJHO7,36_2pruned_0-fish_nonpruned.png,False,False,True,36,0-fish,2pruned,nonpruned,0.0,0.0,0.0,none
3IV1AEQ4EZZWAVL0UESEPTEBHBM8JQ,A36NRERHG2J726,391_nonpruned_8-golfball_2pruned.png,False,False,True,391,8-golfball,nonpruned,2pruned,0.0,0.0,0.0,none
3MDKGGG62Y93KKYHDT9K7L5T9IO6T8,A2KLWSLNAXJUAZ,4_32pruned_6-garbagetruck_nonpruned.png,False,True,False,4,6-garbagetruck,32pruned,nonpruned,1.0,0.0,0.0,alg2
36818Z1KWBZZ85CQORK55D3HB203AD,A3TTGSUBIK1YCL,164_32pruned_6-garbagetruck_nonpruned.png,False,True,False,164,6-garbagetruck,32pruned,nonpruned,1.0,0.0,0.0,alg2
3D1UCPY6HOVLPHJBRT0R9MXMLE0389,A2DYXKOHDDY9EG,45_nonpruned_1-dog_2pruned.png,False,True,False,45,1-dog,nonpruned,2pruned,0.0,1.0,0.0,alg2
