HITId,WorkerId,Input.image_url,Answer.classes.0-fish,Answer.classes.1-dog,Answer.classes.2-cassetteplayer,Answer.classes.3-chainsaw,Answer.classes.4-church,Answer.classes.5-frenchhorn,Answer.classes.6-garbagetruck,Answer.classes.7-gaspump,Answer.classes.8-golfball,Answer.classes.9-parachute,Answer.classes.none,img_id,img_class,algorithm,correct,img_answer
3X4Q1O9UCP86BS7E0MSDJPZ25G47OP,ARUXF7MD6PFIJ,379_2-cassetteplayer_nonpruned.png,False,False,True,False,False,False,False,False,False,False,False,379,2-cassetteplayer,nonpruned,1.0,2-cassetteplayer
3X4Q1O9UCP86BS7E0MSDJPZ25G47OP,A3OSGBQXGDDRT5,379_2-cassetteplayer_nonpruned.png,False,False,True,False,False,False,False,False,False,False,False,379,2-cassetteplayer,nonpruned,1.0,2-cassetteplayer
3X4Q1O9UCP86BS7E0MSDJPZ25G47OP,A18V8FRN40LJ4J,379_2-cassetteplayer_nonpruned.png,False,False,True,False,False,False,False,False,False,False,False,379,2-cassetteplayer,nonpruned,1.0,2-cassetteplayer
3X4Q1O9UCP86BS7E0MSDJPZ25G47OP,A3TYCJO2DG3RMH,379_2-cassetteplayer_nonpruned.png,False,False,True,False,False,False,False,False,False,False,False,379,2-cassetteplayer,nonpruned,1.0,2-cassetteplayer
3X4Q1O9UCP86BS7E0MSDJPZ25G47OP,A1BZNPQ0H7ZSER,379_2-cassetteplayer_nonpruned.png,False,False,True,False,False,False,False,False,False,False,False,379,2-cassetteplayer,nonpruned,1.0,2-cassetteplayer
30UZJB2PPPY22Z09TVTOX2NVJJD53D,A3GCVJINCZ758Y,253_3-chainsaw_2pruned.png,False,False,False,False,False,False,False,False,False,False,True,253,3-chainsaw,2pruned,0.0,none
30UZJB2PPPY22Z09TVTOX2NVJJD53D,A121A9VXAC6JUQ,253_3-chainsaw_2pruned.png,False,False,False,True,False,False,False,False,False,False,False,253,3-chainsaw,2pruned,1.0,3-chainsaw
30UZJB2PPPY22Z09TVTOX2NVJJD53D,ARUXF7MD6PFIJ,253_3-chainsaw_2pruned.png,False,False,False,False,False,False,True,False,False,False,False,253,3-chainsaw,2pruned,0.0,6-garbagetruck
30UZJB2PPPY22Z09TVTOX2NVJJD53D,A3P2O37EDC1H9V,253_3-chainsaw_2pruned.png,False,False,False,True,False,False,False,False,False,False,False,253,3-chainsaw,2pruned,1.0,3-chainsaw
30UZJB2PPPY22Z09TVTOX2NVJJD53D,A1GCCCD7V9JUQY,253_3-chainsaw_2pruned.png,False,False,False,True,False,False,False,False,False,False,False,253,3-chainsaw,2pruned,1.0,3-chainsaw
3G57RS03IPRDHH4QPVFJESI3D5D522,A25NZ9E6L9ER2D,433_4-church_nonpruned.png,False,False,False,False,False,True,False,False,False,False,False,433,4-church,nonpruned,0.0,5-frenchhorn
3G57RS03IPRDHH4QPVFJESI3D5D522,A3O6D3HPXD0H8I,433_4-church_nonpruned.png,False,False,False,False,True,False,False,False,False,False,False,433,4-church,nonpruned,1.0,4-church
3G57RS03IPRDHH4QPVFJESI3D5D522,AKSJ3C5O3V9RB,433_4-church_nonpruned.png,False,False,False,False,True,False,False,False,False,False,False,433,4-church,nonpruned,1.0,4-church
3G57RS03IPRDHH4QPVFJESI3D5D522,A3P2O37EDC1H9V,433_4-church_nonpruned.png,False,False,False,False,True,False,False,False,False,False,False,433,4-church,nonpruned,1.0,4-church
3G57RS03IPRDHH4QPVFJESI3D5D522,AGA1PIIWM8I8D,433_4-church_nonpruned.png,False,False,False,False,True,False,False,False,False,False,False,433,4-church,nonpruned,1.0,4-church
378G7J1SKTKZPGVQEGXT6T45U57EWU,ARUXF7MD6PFIJ,19_1-dog_32pruned.png,False,True,False,False,False,False,False,False,False,False,False,19,1-dog,32pruned,1.0,1-dog
378G7J1SKTKZPGVQEGXT6T45U57EWU,A3GCVJINCZ758Y,19_1-dog_32pruned.png,False,False,False,False,False,False,False,False,False,False,True,19,1-dog,32pruned,0.0,none
378G7J1SKTKZPGVQEGXT6T45U57EWU,A34DYM8J0X5VK,19_1-dog_32pruned.png,False,True,False,False,False,False,False,False,False,False,False,19,1-dog,32pruned,1.0,1-dog
378G7J1SKTKZPGVQEGXT6T45U57EWU,A1BZNPQ0H7ZSER,19_1-dog_32pruned.png,False,True,False,False,False,False,False,False,False,False,False,19,1-dog,32pruned,1.0,1-dog
378G7J1SKTKZPGVQEGXT6T45U57EWU,A3K1P4SPR8XS7R,19_1-dog_32pruned.png,False,True,False,False,False,False,False,False,False,False,False,19,1-dog,32pruned,1.0,1-dog
3DQYSJDTZTXEEG0GOLTF8CIC37DEXN,AKSJ3C5O3V9RB,325_7-gaspump_nonpruned.png,False,False,False,False,False,False,False,True,False,False,False,325,7-gaspump,nonpruned,1.0,7-gaspump
3DQYSJDTZTXEEG0GOLTF8CIC37DEXN,A1GCCCD7V9JUQY,325_7-gaspump_nonpruned.png,False,False,False,False,False,False,False,False,False,False,True,325,7-gaspump,nonpruned,0.0,none
3DQYSJDTZTXEEG0GOLTF8CIC37DEXN,A18V8FRN40LJ4J,325_7-gaspump_nonpruned.png,False,False,False,False,False,False,False,True,False,False,False,325,7-gaspump,nonpruned,1.0,7-gaspump
